key,scroll,segment,recipe,windows,max_score,mean_score,best_y0,best_x0,window_px,ci_hi
PHercParis4/segments/20260623165742-w120-121/ink-detection/downsampled/PHercParis4-20260623165742-2.4um-0.22m-78keV-volume-20260411134726-20260417190342-new_canon_autoresearch_recipe-tile256-stride128-ds8.jpg,PHercParis4,20260623165742-w120-121,canon,52,0.926,0.6218,12288,53248,8192,0.0688
PHerc0172/segments/20251212105627-w052_20251212105627148_flatboi/ink-detection/downsampled/PHerc0172-20251212105627-7.91um-53keV-volume-20241024131838-20250713185324-timesformer_scroll5_july_retreat-tile64-stride16-ds8.jpg,PHerc0172,20251212105627-w052_20251212105627148_flatboi,other,20,0.8973,0.6212,4960,3720,2488,0.1611
PHerc0172/segments/20251112163527-w071_20251112163527854_flatboi/ink-detection/downsampled/PHerc0172-20251112163527-7.91um-53keV-volume-20241024131838-20251222202946-timesformer_scroll5_november19-tile64-stride16-ds8.jpg,PHerc0172,20251112163527-w071_20251112163527854_flatboi,other,30,0.8102,0.6211,9920,3720,2488,0.1135
PHerc0172/segments/20251211152543-w053_20251211152543204_flatboi/ink-detection/downsampled/PHerc0172-20251211152543-7.91um-53keV-volume-20241024131838-20251222202946-timesformer_scroll5_november19-tile64-stride16-ds8.jpg,PHerc0172,20251211152543-w053_20251211152543204_flatboi,other,20,0.7767,0.6162,0,4960,2488,0.1611
PHerc0172/segments/20251211111451-w055_20251211111451620_flatboi/ink-detection/downsampled/PHerc0172-20251211111451-7.91um-53keV-volume-20241024131838-20251222202946-timesformer_scroll5_november19-tile64-stride16-ds8.jpg,PHerc0172,20251211111451-w055_20251211111451620_flatboi,other,20,0.8006,0.6157,7440,2480,2488,0.1611
PHerc0172/segments/20251115002745-auto_grown_20251115002740308_5_flatboi/ink-detection/downsampled/PHerc0172-20251115002745-7.91um-53keV-volume-20241024131838-20251222202946-timesformer_scroll5_november19-tile64-stride16-ds8.jpg,PHerc0172,20251115002745-auto_grown_20251115002740308_5_flatboi,other,115,0.8846,0.6129,3720,22320,2488,0.0323
PHerc0172/segments/20251115002743-auto_grown_20251115002740308_3_flatboi/ink-detection/downsampled/PHerc0172-20251115002743-7.91um-53keV-volume-20241024131838-20250713185324-timesformer_scroll5_july_retreat-tile64-stride16-ds8.jpg,PHerc0172,20251115002743-auto_grown_20251115002740308_3_flatboi,other,104,0.8809,0.6124,7440,22320,2488,0.0356
PHerc0172/segments/20251111151836-w069_20251111151836406_flatboi/ink-detection/downsampled/PHerc0172-20251111151836-7.91um-53keV-volume-20241024131838-20251222202946-timesformer_scroll5_november19-tile64-stride16-ds8.jpg,PHerc0172,20251111151836-w069_20251111151836406_flatboi,other,37,0.8536,0.6105,11160,11160,2488,0.0941
PHerc0172/segments/20251115002746-auto_grown_20251115002740308_6_flatboi/ink-detection/downsampled/PHerc0172-20251115002746-7.91um-53keV-volume-20241024131838-20251222202946-timesformer_scroll5_november19-tile64-stride16-ds8.jpg,PHerc0172,20251115002746-auto_grown_20251115002740308_6_flatboi,other,73,0.8444,0.6062,4960,48360,2488,0.05
PHerc0172/segments/20251115002748-auto_grown_20251115002740308_8_flatboi/ink-detection/downsampled/PHerc0172-20251115002748-7.91um-53keV-volume-20241024131838-20251222202946-timesformer_scroll5_november19-tile64-stride16-ds8.jpg,PHerc0172,20251115002748-auto_grown_20251115002740308_8_flatboi,other,72,0.8389,0.6035,6200,4960,2488,0.0507
PHercParis4/segments/20260623164704-w116-117/ink-detection/downsampled/PHercParis4-20260623164704-2.4um-0.22m-78keV-volume-20260411134726-20260417190342-new_canon_autoresearch_recipe-tile256-stride128-ds8.jpg,PHercParis4,20260623164704-w116-117,canon,65,0.9198,0.5821,40960,36864,8192,0.0558
PHerc0172/segments/20251115002747-auto_grown_20251115002740308_7_flatboi/ink-detection/downsampled/PHerc0172-20251115002747-7.91um-53keV-volume-20241024131838-20251222202946-timesformer_scroll5_november19-tile64-stride16-ds8.jpg,PHerc0172,20251115002747-auto_grown_20251115002740308_7_flatboi,other,112,0.8071,0.5779,1240,16120,2488,0.0332
PHerc0172/segments/20251212105627-w052_20251212105627148_flatboi/ink-detection/downsampled/PHerc0172-20251212105627-7.91um-53keV-volume-20241024131838-20251222202946-timesformer_scroll5_november19-tile64-stride16-ds8.jpg,PHerc0172,20251212105627-w052_20251212105627148_flatboi,other,20,0.8206,0.5699,4960,4960,2488,0.1611
PHerc0172/segments/20251115002741-auto_grown_20251115002740308_1_flatboi/ink-detection/downsampled/PHerc0172-20251115002741-7.91um-53keV-volume-20241024131838-20251222202946-timesformer_scroll5_november19-tile64-stride16-ds8.jpg,PHerc0172,20251115002741-auto_grown_20251115002740308_1_flatboi,other,103,0.8288,0.5691,6200,49600,2488,0.036
PHerc0172/segments/20251115002740-auto_grown_20251115002740308_0_flatboi/ink-detection/downsampled/PHerc0172-20251115002740-7.91um-53keV-volume-20241024131838-20251222202946-timesformer_scroll5_november19-tile64-stride16-ds8.jpg,PHerc0172,20251115002740-auto_grown_20251115002740308_0_flatboi,other,80,0.9059,0.5592,2480,28520,2488,0.0458
