scroll,segment,recipe,pitch_um,y0,x0,jpg,area,requant,q50
PHerc1667,20240304161941-w023,canon,2.399,4096,45056,0.8186,0.8287,0.8286,0.8288
PHerc1667,20240304161941-w023,canon,2.399,4096,49152,0.782,0.7821,0.7781,0.7823
PHerc1667,20240304161941-w023,canon,2.399,4096,53248,0.5219,0.5226,0.5223,0.523
PHerc1667,20240304161941-w023,canon,2.399,4096,57344,0.7839,0.7841,0.7841,0.7842
PHerc1667,20240304161941-w023,canon,2.399,4096,61440,0.8659,0.866,0.866,0.866
PHerc1667,20240304161941-w023,canon,2.399,4096,65536,0.8497,0.8497,0.8498,0.8498
PHerc1667,20240304161941-w023,canon,2.399,4096,69632,0.8007,0.8008,0.8009,0.8005
PHerc1667,20240304161941-w023,canon,2.399,4096,73728,0.7533,0.7478,0.7477,0.7473
PHerc1667,20240304161941-w023,canon,2.399,4096,77824,0.775,0.7688,0.7688,0.7688
PHerc1667,20240304161941-w023,canon,2.399,4096,81920,0.6692,0.6697,0.6697,0.6777
PHerc1667,20240304161941-w023,canon,2.399,4096,86016,0.7032,0.7037,0.7035,0.7096
PHerc1667,20240304161941-w023,canon,2.399,4096,90112,0.8652,0.8654,0.8653,0.8654
PHerc1667,20240304161941-w023,canon,2.399,8192,0,0.7466,0.7467,0.7466,0.7471
PHerc1667,20240304161941-w023,canon,2.399,8192,4096,0.5464,0.5451,0.5546,0.5545
PHerc1667,20240304161941-w023,canon,2.399,8192,8192,0.6089,0.6087,0.6158,0.6157
PHerc1667,20240304161941-w023,canon,2.399,8192,12288,0.838,0.8389,0.8383,0.8382
PHerc1667,20240304161941-w023,canon,2.399,8192,16384,0.8436,0.8438,0.8437,0.8438
PHerc1667,20240304161941-w023,canon,2.399,8192,20480,0.7849,0.7779,0.7825,0.7889
PHerc1667,20240304161941-w023,canon,2.399,8192,24576,0.739,0.7283,0.7305,0.7421
PHerc1667,20240304161941-w023,canon,2.399,8192,28672,0.8177,0.8107,0.8064,0.8064
PHerc1667,20240304161941-w023,canon,2.399,8192,32768,0.8322,0.8251,0.8249,0.8254
PHerc1667,20240304161941-w023,canon,2.399,8192,36864,0.8372,0.8374,0.8372,0.8377
PHerc1667,20240304161941-w023,canon,2.399,8192,40960,0.8013,0.8016,0.8015,0.8015
PHerc1667,20240304161941-w023,canon,2.399,8192,45056,0.7884,0.7889,0.789,0.7891
PHerc1667,20240304161941-w023,canon,2.399,8192,49152,0.7842,0.7852,0.7852,0.7855
PHerc1667,20240304161941-w023,canon,2.399,8192,53248,0.5467,0.5474,0.5472,0.5476
